timestamp,i,j,duration
979497000,user_stable@enron.com,peer0@enron.com,20
979497020,user_stable@enron.com,peer0@enron.com,20
979497040,user_stable@enron.com,peer0@enron.com,20
979497060,user_stable@enron.com,peer0@enron.com,20
979497080,user_stable@enron.com,peer0@enron.com,20
979497100,user_stable@enron.com,peer0@enron.com,20
979497120,user_stable@enron.com,peer0@enron.com,20
979497140,user_stable@enron.com,peer0@enron.com,20
979497160,user_stable@enron.com,peer0@enron.com,20
979497180,user_stable@enron.com,peer0@enron.com,20
979497000,user_stable@enron.com,peer1@enron.com,20
979497020,user_stable@enron.com,peer1@enron.com,20
979497040,user_stable@enron.com,peer1@enron.com,20
979497060,user_stable@enron.com,peer1@enron.com,20
979497080,user_stable@enron.com,peer1@enron.com,20
979497100,user_stable@enron.com,peer1@enron.com,20
979497120,user_stable@enron.com,peer1@enron.com,20
979497140,user_stable@enron.com,peer1@enron.com,20
979497160,user_stable@enron.com,peer1@enron.com,20
979497180,user_stable@enron.com,peer1@enron.com,20
979497000,user_stable@enron.com,peer3@enron.com,20
979497020,user_stable@enron.com,peer3@enron.com,20
979497000,user_stable@enron.com,peer6@enron.com,20
979497020,user_stable@enron.com,peer6@enron.com,20
979497000,user_promoted@enron.com,peer2@enron.com,20
979497020,user_promoted@enron.com,peer2@enron.com,20
979497040,user_promoted@enron.com,peer2@enron.com,20
979497060,user_promoted@enron.com,peer2@enron.com,20
979497080,user_promoted@enron.com,peer2@enron.com,20
979497000,user_promoted@enron.com,peer3@enron.com,20
979497020,user_promoted@enron.com,peer3@enron.com,20
979497040,user_promoted@enron.com,peer3@enron.com,20
979497060,user_promoted@enron.com,peer3@enron.com,20
979497080,user_promoted@enron.com,peer3@enron.com,20
979497100,user_promoted@enron.com,peer3@enron.com,20
979497000,user_promoted@enron.com,peer5@enron.com,20
979497000,user_promoted@enron.com,peer8@enron.com,20
979497000,user_resigned@enron.com,peer4@enron.com,20
979497020,user_resigned@enron.com,peer4@enron.com,20
979497040,user_resigned@enron.com,peer4@enron.com,20
979497000,user_resigned@enron.com,peer5@enron.com,20
979497020,user_resigned@enron.com,peer5@enron.com,20
979497040,user_resigned@enron.com,peer5@enron.com,20
979497060,user_resigned@enron.com,peer5@enron.com,20
979497080,user_resigned@enron.com,peer5@enron.com,20
979497100,user_resigned@enron.com,peer5@enron.com,20
979497120,user_resigned@enron.com,peer5@enron.com,20
979497140,user_resigned@enron.com,peer5@enron.com,20
979497160,user_resigned@enron.com,peer5@enron.com,20
979497180,user_resigned@enron.com,peer5@enron.com,20
979497000,user_fired@enron.com,user_bottleneck@enron.com,20
979497020,user_fired@enron.com,user_bottleneck@enron.com,20
979497000,user_fired@enron.com,peer6@enron.com,20
979497020,user_fired@enron.com,peer6@enron.com,20
979497040,user_fired@enron.com,peer6@enron.com,20
979497060,user_fired@enron.com,peer6@enron.com,20
979497080,user_fired@enron.com,peer6@enron.com,20
979497100,user_fired@enron.com,peer6@enron.com,20
979497120,user_fired@enron.com,peer6@enron.com,20
979497140,user_fired@enron.com,peer6@enron.com,20
979497160,user_fired@enron.com,peer6@enron.com,20
